,IDADE,TIPO_CARTAO,FAIXA_HORARIA_FRQ_PRIMEIRA,FAIXA_HORARIA_FRQ_ULTIMA,HORAS_TRABALHADAS_DIARIAMENTE,DIST_CASA_PARADA,RENDA_MEDIA_ZONA,MEDIA_MORADORES_FAMILIA,MEDIA_AUTOMOVEIS_FAMILIA,MEDIA_MOTOS_FAMILIA,MEDIA_BICICLETAS_FAMILIA,MEDIA_VIAGENS_FAMILIA,VIAGENS_MOTIVO_OUTROS,VIAGENS_MOTIVO_TRABALHO,VIAGENS_MOTIVO_RESIDENCIA,VIAGENS_MOTIVO_ESTUDO,FREQ_MEDIA_DIARIA,FREQ_MEDIA_DIARIA_MAIOR_2
17,adulto,11.0,madrugada,madrugada,7.46078431372549,117.316123564284,1955.869565217391,2.27536231884058,0.3768115942028986,0.1159420289855072,0.1739130434782609,3.898550724637681,0.1635687732342007,0.2230483271375465,0.4869888475836431,0.1263940520446097,0.65,0
18,idoso,11.0,madrugada,madrugada,7.376237623762377,32.4825860804688,2842.24060150376,2.572139303482587,0.8706467661691543,0.07462686567164178,0.1691542288557214,4.338308457711443,0.1662844036697248,0.2201834862385321,0.4908256880733945,0.1227064220183486,0.2,0
19,adulto,11.0,madrugada,madrugada,7.236641221374046,1093.34290441049,1085.792079207921,2.972222222222222,0.3888888888888889,0.125,0.25,4.694444444444445,0.1538461538461539,0.1449704142011834,0.5029585798816568,0.1982248520710059,0.5333333334,0
20,adulto,11.0,madrugada,madrugada,6.930693069306931,11331.7532912157,3136.82252559727,2.429951690821256,1.06280193236715,0.03381642512077294,0.2077294685990338,4.458937198067633,0.2047670639219935,0.200433369447454,0.4875406283856988,0.1072589382448537,0.2,0
21,adulto,11.0,madrugada,madrugada,7.024937655860349,134.387983219826,4621.570680628272,2.437262357414449,0.9315589353612167,0.03041825095057034,0.2509505703422053,4.904942965779468,0.2224806201550387,0.1658914728682171,0.4689922480620155,0.1426356589147287,0.5333333334,0
22,adulto,11.0,madrugada,madrugada,7.174757281553398,1167.4330844814,2079.51724137931,2.386666666666667,0.8,0.1466666666666667,0.4133333333333333,3.506666666666667,0.2167300380228137,0.1711026615969582,0.5019011406844106,0.1102661596958175,0.3666666666,0
23,adulto,11.0,madrugada,madrugada,7.056818181818182,3587.94269375528,1418.727272727273,2.607142857142857,0.4464285714285715,0.3035714285714285,0.125,3.625,0.1921182266009852,0.1773399014778325,0.4876847290640394,0.1428571428571428,0.6,0
24,adulto,11.0,madrugada,madrugada,6.41726618705036,12654.4969623676,1117.028571428571,2.873417721518988,0.3037974683544304,0.2911392405063291,0.2151898734177215,4.658227848101266,0.09510869565217392,0.2010869565217391,0.4945652173913043,0.2092391304347826,0.75,0
25,adulto,11.0,madrugada,madrugada,7.376237623762377,1443.70897505453,2842.24060150376,2.572139303482587,0.8706467661691543,0.07462686567164178,0.1691542288557214,4.338308457711443,0.1662844036697248,0.2201834862385321,0.4908256880733945,0.1227064220183486,0.3666666666,0
26,adulto,11.0,madrugada,madrugada,5.579831932773109,932.851306382545,1793.281690140845,2.654545454545455,0.7818181818181819,0.1454545454545454,0.2545454545454545,4.672727272727273,0.1439688715953307,0.2373540856031128,0.4630350194552529,0.1556420233463035,0.3,0
