id_municipio,lon,lat,area_km2,n_sinistros,n_vitimas,n_fatal,is_fatal,pib,n_pav,pav,domicilios,populacao,taxa_alfabetizacao,idade_mediana,indice_envelhecimento
3138203,-45.03848135119275,-21.264671426426283,564.744,46.0,194.0,5.0,1.0,3348003000.0,0.0,59.81811711754325,38931.0,104363.0,0.97459,36.0,72.83
5206503,-49.3569278954938,-17.240533247710452,364.918,0.0,0.0,0.0,0.0,130555000.0,0.0,0.0,1536.0,3879.0,0.92857,41.0,96.88
2405603,-37.28587054526215,-6.334455374670649,330.53,0.0,0.0,0.0,0.0,243966000.0,0.0,0.0,4962.0,13974.0,0.8034,34.0,52.84
2909307,-45.39490037992424,-13.46725385325751,11504.316,23.0,159.0,17.0,1.0,4110432000.0,27.51801526308506,335.3393031101834,11278.0,32401.0,0.81207,34.0,53.35
1711506,-48.64553121026712,-12.74760477189828,2167.201,0.0,0.0,0.0,0.0,95141000.0,0.0,0.0,1237.0,3332.0,0.89516,38.0,66.47
3105509,-42.278431312612106,-21.26478110639377,198.313,0.0,0.0,0.0,0.0,64635000.0,0.0,0.0,1896.0,4963.0,0.882,42.0,115.73
3170909,-43.93442389986537,-15.64146178602802,814.994,0.0,0.0,0.0,0.0,199299000.0,0.0,0.0,6295.0,18832.0,0.8213,33.0,51.3
2209401,-41.20758485610765,-6.910313499272935,376.353,1.0,2.0,0.0,0.0,86075000.0,0.0,15.533931238841165,2092.0,5817.0,0.78851,36.0,72.51
4115853,-54.18623995546998,-24.433405889394116,197.136,6.0,20.0,2.0,1.0,262524000.0,0.0,15.233800792037416,2149.0,5926.0,0.96094,37.0,67.63
3301801,-43.63609291471361,-22.508282342762563,139.381,0.0,0.0,0.0,0.0,383264000.0,0.0,0.0,4791.0,12201.0,0.94982,40.0,98.06
4303202,-51.6769504289578,-27.813946560426423,203.582,0.0,0.0,0.0,0.0,135720000.0,0.0,0.0,1660.0,4601.0,0.93974,40.0,105.47
3146750,-40.37108856789876,-16.788530383870796,433.154,0.0,0.0,0.0,0.0,73449000.0,0.0,0.0,2368.0,6281.0,0.78339,38.0,86.01
2512002,-36.09363384991002,-7.062636951531639,623.967,6.0,16.0,0.0,0.0,295224000.0,0.0,21.33406984465575,5759.0,17463.0,0.81486,32.0,50.68
4115200,-51.967899575948174,-23.400982793667367,487.912,259.0,588.0,5.0,1.0,26668372000.0,0.0,39.37655849285757,156517.0,407209.0,0.98018,37.0,78.41
2104305,-45.76305602486168,-1.370742427120708,725.707,0.0,0.0,0.0,0.0,977590000.0,0.0,0.0,3140.0,10147.0,0.86548,28.0,23.72
2925600,-41.99531282567422,-11.303391995858236,232.064,0.0,0.0,0.0,0.0,145533000.0,0.0,0.0,5401.0,15120.0,0.86325,37.0,63.6
5107701,-55.93510245315722,-14.764881741895143,7339.442,41.0,101.0,7.0,1.0,568250000.0,0.0,98.41795888412028,5523.0,15340.0,0.86359,38.0,66.58
3555208,-50.111380958465176,-20.94048309942335,153.492,0.0,0.0,0.0,0.0,61350000.0,0.0,0.0,756.0,1818.0,0.92539,45.0,130.0
2803005,-37.77918414619216,-11.2587353724558,501.794,0.0,0.0,0.0,0.0,588847000.0,0.0,0.0,13332.0,40625.0,0.7816,30.0,37.92
1101401,-63.37239265021112,-10.210786554686925,1931.404,9.0,20.0,0.0,0.0,452939000.0,0.0,0.0,4223.0,11516.0,0.89146,35.0,48.89
5002100,-56.5352820311181,-21.93586988085421,4956.473,5.0,11.0,1.0,1.0,1098991000.0,0.0,73.78611278734017,7231.0,21442.0,0.92735,32.0,48.5
3162708,-41.97694075969017,-15.342821789206452,1925.575,0.0,0.0,0.0,0.0,286699000.0,0.0,0.0,7694.0,23902.0,0.79354,34.0,63.65
2201200,-42.368021495451885,-4.18994024975481,1722.506,0.0,0.0,0.0,0.0,575075000.0,0.0,0.0,14533.0,47920.0,0.75037,32.0,43.92
2209377,-42.227503819659326,-6.809358395245725,338.339,0.0,0.0,0.0,0.0,54217000.0,0.0,0.0,1692.0,4650.0,0.76171,37.0,73.04
3130002,-44.78295211274757,-21.167142481670385,153.106,0.0,0.0,0.0,0.0,62722000.0,0.0,0.0,967.0,2670.0,0.93068,39.0,97.0
3538204,-46.57342346542188,-22.778684460674803,154.529,0.0,0.0,0.0,0.0,353045000.0,0.0,0.0,5652.0,15164.0,0.96198,40.0,94.82
2405702,-36.80655650015541,-6.587745423785779,367.645,8.0,14.0,0.0,0.0,237956000.0,0.0,32.82154242182847,4467.0,11614.0,0.83926,41.0,121.6
2901106,-38.720483333545424,-12.421188032152653,166.872,64.0,149.0,0.0,0.0,483419000.0,0.0,21.474514239517852,8600.0,24100.0,0.90264,36.0,57.61
